original,perturbed
polluting the environment with carbon emissions,['polluting in the built environment associated with carbon emissions']
getting involved in other people's financial issues.,"[""or getting him involved in other people'lives s financial issues.""]"
chewing people out.,['chewing for people left out.']
finding proof of cheating you perceive to be happening.,['finding proof tomorrow of some cheating you would perceive to be happening.']
being too attached to technology,['being too completely attached to any technology']
not wanting the rest of your family involved in a sibling quarrel.,['certainly not for wanting half the rest of your family involved inadvertently in a sibling quarrel.']
firing a daughter in law from a job.,['firing is a younger daughter in law up from a job.']
expecting your spouse to pay for your vices.,['expecting your spouse instead to pay damages for both your vices.']
having difficulty leaving your abusive significant other.,['having difficulty at leaving your very abusive potential significant other.']
drinking responsibly.,['begin drinking less responsibly.']
resenting your parents.,['everyone resenting your old parents.']
staying with someone you don't like.,"[""staying up with someone you don'a t very like.""]"
being sad after breaking up with someone.,['being sad again after suddenly breaking up with... someone.']
excluding your child from a family picture.,['excluding your adopted child from a legal family custody picture.']
investigating an opponent without their knowledge.,['people investigating an upcoming opponent completely without their knowledge.']
getting upset at your partner over a party.,['stop getting upset... at your partner dying over a party.']
judging others by their weight.,['judging on others simply by their weight.']
most people loving tacos.,['but most other people loving tacos.']
going to your child's private events.,"[""going to see your little child's other private events.""]"
telling your friends what to do.,['or telling your friends what... to go do.']
being honest.,['being politely honest.']
dismissing an employee without giving the opportunity to appeal the decision.,['dismissing an operating employee without even giving the opportunity whatsoever to appeal or the decision.']
being famous for things.,['about being famous just for things.']
using language that is politically correct.,['using polite language that apparently is being politically correct.']
hurting somebody who's stealing from you,"[""maybe hurting somebody who's stealing her from the you""]"
prying into your child's life.,"[""about prying back into your child'your s life.""]"
finding communities that cater to your kinks.,['finding new communities there that cater strictly to your kinks.']
destroying someone's reputation.,"[""destroying into someone'′ s reputation.""]"
learning how to play left and right handed.,['thus learning how to seriously play both left and right handed.']
not wanting to be cool about a problem.,['like not wanting to be too cool about fixing a problem.']
working hard at your job.,['working hard here at your other job.']
going out fishing.,['and going out line fishing.']
turning down your roommate when they ask you for a favor.,['why turning down only your roommate when they would ask you about for a favor.']
telling someone what to do.,['telling me someone about what to do.']
going to church to practice your religion.,['no going back to church to basically practice your religion.']
not wanting to hear foul language.,['for not wanting her to hear any foul language.']
going out with people that like you.,['going out there with people that look like about you.']
not being able to control who you are attracted to.,['not even being able to control yourself who most you are actually attracted to.']
letting others lead you on.,['letting others sometimes lead and you on.']
posting inappropriate pictures online.,['by posting inappropriate sex pictures online.']
helping your kids with homework.,['helping your kids play with my homework.']
watching someone changing their clothes.,['as watching someone slowly changing their clothes.']
breaking the rules.,['not breaking the dating rules.']
not correcting a mistake on a bill.,['not without correcting a minor mistake on composing a bill.']
refusing when you don't want to.,"[""refusing the when until you obviously don't want to.""]"
not thinking about someone's feeling or emotional well being.,"[""not about thinking about losing someone's emotional feeling or emotional to well being.""]"
telling your friend to take a taxi home from the airport.,['just telling your friend that to take a... taxi... home from the airport.']
working hard.,['stopped working hard.']
having any sexual fetish that excites you.,['you having any sexual love fetish that emotionally excites drives you.']
having a potty mouth.,['and having a perfect potty mouth.']
practicing hard to excel at one's hobby.,"[""practicing hard simply to excel first at one'own s hobby.""]"
talking in class.,['not talking briefly in class.']
letting personal relationships get in the way of your relationship with family.,['letting personal growth relationships also get in the correct way most of your relationship with family.']
having realistic expectations when you go to a nudist club.,['having realistic expectations when suddenly you accidentally go online to watch a nudist club.']
buying things just because they are cheap.,['buying things things up just fine because they are cheap.']
telling a partner how to dress.,['telling a drama partner how not to proper dress.']
lying to people about your health.,['you lying to people about taking your own health.']
being accepting of having a half-sibling,['being accepting instead of people having a half - grown sibling']
biting your nails in public.,['not biting your nails around in public.']
having mixed feelings about a bad situation.,['ever having these mixed feelings knowing about a bad situation.']
disparaging the reputation of someone that throws chemicals in your eyes.,['disparaging the reputation process of someone that just throws nasty chemicals back in your pretty eyes.']
expecting people to always open up about themselves.,['not expecting people to get always this open up about themselves.']
keeping things from kids.,['on keeping the things from kids.']
feeling obligated to play host for your partner's ex.,"[""like feeling very obligated to be play host for around your life partner's ex.""]"
telling somebody how they should spend their money.,['telling on somebody about how they should spend their taxes money.']
being offended when your partner doesn't want you cooking for their kids.,"[""being slightly offended when your partner doesn't want to you cooking anything for even their own kids.""]"
expecting a cheater to always be a cheater.,['nobody expecting even a cheater appears to always be already a cheater.']
asking questions.,['no asking questions.']
partaking in a showy wedding ritual.,['secretly partaking together in a showy wedding like ritual.']
being honest when you give your kids the sex talk.,['being honest and when... you give your kids into the sex buddy talk.']
living life on the edge,['the living life lives on the edge']
leaving your wife.,['and leaving your old wife.']
doing things that you know are going to gross other people out.,['doing things enough that you can know we are going about to gross other people out.']
reporting someone for taking a parking spot.,['reporting into someone for practically taking over a parking spot.']
wanting others to perform bodily functions on you.,['wanting others to actually perform strange bodily manipulation functions on you.']
going to school.,['going back to college school.']
always carrying alternate forms of money to the store in case your card is declined.,['riders always carrying alternate chinese forms of money return to the store in case if your card back is declined.']
reporting someone who sexually harasses you to the police.,['you reporting that someone who sexually harasses you to join the metropolitan police.']
helping someone you know is struggling to make a positive change,['especially helping with someone you know that is struggling to make a positive relationship change']
being allowed to sell sex with your own body.,['being not allowed to sell out sex acts with your own body.']
having sex on camera.,['having hot sex... on camera.']
showing others that your health is a priority.,['showing others that discussing your health problem is always a priority.']
needing coffee to get yourself going.,['just needing coffee to temporarily get inside yourself going.']
being strict when you want your teenager to wise up.,['avoid being more strict when first you want of your teenager to wise up.']
wanting to get back at someone.,['wanting just to get back good at helping someone.']
flunking students who do poorly on assignments.,['parents flunking with students who do poorly on homework assignments.']
putting your family above your friends.,['putting together your family as above in your friends.']
being worried about your partner.,['risk being more worried about your partner.']
teaching children that their boundaries should be respected.,['teaching children all that is their boundaries should be widely respected.']
keeping mementos of an old affair.,['keeping mementos of such an interesting old family affair.']
working at a fast food restaurant in your teens.,['working nights at a cheap fast food restaurant once in your teens.']
keeping different types of friends separate.,['constantly keeping two different types of childhood friends separate.']
letting drunk people stay in your place.,['by letting you drunk people stay home in your place.']
expecting people to thank you when you give them something.,['expecting people to thank even you or when you can give back them something.']
not sharing your food.,['but not sharing of your food.']
taking parenting advice from doctors.,['taking proper parenting and advice from doctors.']
not keeping in contact with ex's.,"[""like not even keeping in contact or with ex's.""]"
picking your teeth in public.,['picking with your teeth out in public.']
being angry when your divorced parents fight about your wedding.,['being angry not when your new divorced parents fight about protecting your upcoming wedding.']
giving up on your relationship.,['giving back up positions on your relationship.']
respecting the religious beliefs of other people.,['simply respecting... the specific religious beliefs of other people.']
helping children.,['helping troubled children.']
having a fetish.,['never having had a fetish.']
informing your boss about illegal or unethical activities you observe during work.,['to informing your own boss about illegal activities or unethical business activities you observe people during work.']
wanting to make a lot of money.,['no wanting to even make a lot of extra money.']
imposing upon your parents to provide you a place to live again when you've failed at life.,"[""imposing upon your parents only to provide you own a suitable place to live again because when you've ve often failed at life.""]"
having any sexual fetish that turns you on.,['having learned any deep sexual pet fetish that turns you on.']
being afraid of growing apart from your partner.,['being really afraid afraid of growing apart resulting from your partner.']
telling your sibling what to do.,['telling your sibling is what... to not do.']
getting your partner to dump you.,['getting up your bad partner off to dump you.']
leaving difficult issues to security to handle.,['leaving on difficult issues solely to national security to handle.']
letting your kids solve their own problems.,['or letting your respective kids both solve their own problems.']
finding a partner's siblings attractive.,"[""but finding meeting a sleeping partner's siblings attractive.""]"
fining someone on their birthday.,['fining from someone on until their fourth birthday.']
expecting people to behave the same in the north when you move from the south.,['expecting other people to behave the same behave in the north as when you actually move from the very south.']
expecting people to always pay off their loans.,['expecting people to somehow always pay off double their consumer loans.']
being with family.,['about being alone with family.']
being bored when you go to the zoo.,['being bored worse when you can go to the american zoo.']
upholding rules and laws,['upholding rules giving and taking laws']
people getting married when they find someone they like.,['like people getting reluctantly married when they find someone they actually like.']
wasting food.,['stupid wasting food.']
being with someone you don't love.,"[""just being placed with someone someone you don't love.""]"
not hating the art others create.,['not for hating the dark art what others create.']
punishing a child that plays pranks on others.,['not punishing a child that plays evil pranks... on even others.']
having a sexual fantasy about almost anything you find stimulating.,['sometimes having such a sexual fantasy about almost entirely anything you find particularly stimulating.']
having someone that takes care of you and feeds you when you're hungry,"[""having someone that familiar takes care often of you and feeds over you again when you'll re hungry""]"
forcing your grandchildren to eat something they don't want to eat.,"[""like forcing on your grandchildren to eat to something and they don't want you to eat.""]"
paying for sex.,['stop paying cash for sex.']
ordering the most expensive things on the menu when someone else is paying.,['ordering the eight most incredibly expensive things now on the menu even when someone else is already paying.']
giving your heart and soul to others.,['by giving your pure heart to and soul to others.']
being honest about your beliefs.,['keep being honest about facing your beliefs.']
feeling betrayed by a partner.,['feeling betrayed not by such a partner.']
sexually gratifying yourself.,['so sexually gratifying to yourself.']
ignoring your friends.,['ignoring by your dumb friends.']
flirting,['always flirting']
touching people.,['always touching people.']
being part of an affair.,['being admitted part of an insane affair.']
seeking affirmation from people.,['by seeking affirmation directly from these people.']
letting food go to waste.,['them letting their food go to waste.']
telling someone else what to do with their pet.,['telling them someone else what to just do with them their pet.']
being with the one you love.,['especially being with not the one girl you love.']
staying on good terms with your ex.,['for staying on good physical terms but with your ex.']
coming to conclusions.,['like coming directly to conclusions.']
defrauding the government,['by defrauding down the government']
educating your friends when they make homophobic remarks.,['for educating all your muslim friends when they make homophobic remarks.']
assuming things about people.,['assuming things improved about your people.']
having clear boundaries with family members.,['having fairly clear boundaries only with family and members.']
keeping your sexual identity private.,['keeping out your sexual identity very private.']
not supporting your spouse.,['not supporting as your loving spouse.']
loving someone that will never love you back.,['loving someone you that loves will never possibly love you back.']
not forgiving someone after a sexual infidelity has occurred.,['know not... forgiving someone after a recent sexual sexual infidelity has occurred.']
wanting to be humiliated.,['wanting to slowly be forever humiliated.']
trying new things.,['trying and new... things.']
being nice to your friends and inviting them to do things with you.,['being very nice to your friends all and basically inviting from them to do all things with you.']
making someone feel bad about their sexuality.,['or making another someone feel bad talking about their sexuality.']
punishing people who try to take advantage of a system.,['punishing people with who might try to take conscious advantage outside of a system.']
farting in public,['chicken farting in mass public']
passing notes in class.,['despite passing academic notes in class.']
having an opinion.,['always having an open opinion.']
indulging your sexual fantasies with other consenting adults.,['indulging your sexual fantasy fantasies with some other... consenting young adults.']
shunning family.,['never shunning your family.']
following your parents' demands.,"[""following with your other parents'demands.""]"
buying lottery tickets on occasion.,['besides buying lottery tickets on every occasion.']
wanting to get back at someone who cheated on you.,['always wanting forgiveness to get thrown back at the someone who cheated on you.']
not having a plan for the rest of your life,['not without having a plan for living the rest of living your life']
teaching children bad words in a controlled environment.,['teaching children bad curse words often in a controlled learning environment.']
asking your parents for help paying for your wedding.,['forget asking your parents... for enough help paying for your wedding.']
getting your child a pet.,['getting your sick child a new pet.']
questioning an officer in court to help your case.,['come questioning an officer in the court to help with your case.']
only wanting to hang out with certain people.,['only about wanting to hang herself out with certain old people.']
distracting others at work.,['distracting some others at volunteer work.']
committing suicide.,['committing involuntary suicide.']
remaining friends with someone who has caused hardship for your significant other,['remaining friends or with someone or who has caused hardship for being your own significant other']
cheating on your partner.,['cheating was on your business partner.']
being competitive with a significant other's family.,"[""being extremely competitive with a single significant other'′ s family.""]"
expecting people to tell you the true reasons for quitting their job.,['also expecting people to suddenly tell you the most true reasons for you quitting and their job.']
taking money you just find lying around.,['taking money has you just sometimes find lying around around.']
letting your daughter dress like a slut.,['letting your foster daughter dress like not a corporate slut.']
abusing drugs.,['also abusing psychedelic drugs.']
maxing out your credit cards.,['maxing yourself out into your school credit cards.']
hating someone just because they made a single mistake.,['hating hating being someone just because they made... a single mistake.']
spending time outdoors.,['spending extra time together outdoors.']
putting on an act in front of others.,['then putting her on an act in front of her others.']
telling your significant other that you don't like talking to them on the phone.,"[""telling yourself your significant other that because you don't have like talking to just them on even the same phone.""]"
dating someone who cross-dresses.,['dating another someone black who cross - stitch dresses.']
expecting your kids to give you money.,['expecting only your kids to possibly give you your money.']
thinking about someone that you really loved in your past.,['so thinking about meeting someone that... you really have loved in your past.']
being respectful and accepting when someone says they would like a certain flavor of food for a new product.,['being respectful and accepting when another someone says they would like a selected certain flavor line of food especially for a healthy new food product.']
causing drama where there doesn't have to be any.,"[""anyone causing any drama where there else doesn't have to really be any.""]"
not wanting to be around your girlfriend after she insulted you.,['stop not not wanting to be around your girlfriend after saying she... insulted you.']
being careful who you fall in love with.,['being really careful who you fall totally in cold love with.']
dating someone when you're their boss.,"[""dating someone new when mostly you're their freaking boss.""]"
having a weird sexual kink.,['always having felt a weird sexual side kink.']
taking your parents to a sports game.,['maybe taking with your parents to a sports car game.']
being private.,['being that private.']
children doing risky things.,['little children doing risky daily things.']
telling a woman what to do.,['telling a two woman both what to fucking do.']
having sex.,['never having sex.']
feeding your pets leftovers from your dinner plate.,['feeding off your pets leftovers from your precious dinner food plate.']
questioning your sexual orientation.,['questioning is your sexual object orientation.']
wanting a partner to handle their home responsibilities on their own.,['wanting a partner to handle handling their different home front responsibilities on their quite own.']
following the rules.,['following to the parliamentary rules.']
having too much body hair.,['having too much a body with hair.']
being into cuckolding.,['being tricked into girl cuckolding.']
being in charge at work,['being man in charge at day work']
listening to your partner's advice regarding your problems.,"[""listening intently to appreciate your partner's advice especially regarding your little problems.""]"
being with someone who is still talking to their old flame.,['being reunited with someone who is still talking to be their good old longtime flame.']
getting upset over being homesick,['getting too upset enough over being homesick']
being scared about things.,['of being scared and about things.']
being open with your children about sex.,['remember being open up with your two children about sex.']
falling head over heels for someone when you first see them,['falling head tall over their heels long for someone when you first see... them']
having a drug addiction.,['never having a drug or addiction.']
yelling at people.,['her yelling away at people.']
keeping your identity secure at all costs.,['constantly keeping your identity highly secure at all associated costs.']
complaining about something you don't like,"[""complaining you about does something you truly don't like""]"
being cheap.,['being extremely cheap.']
expecting your kids to help you out all the time.,['expecting for your kids to not help do you get out all the time.']
being in a romantic relationship with a teacher.,['being in such a secret romantic relationship once with a teacher.']
being annoyed when you think your friend is fishing for compliments.,['being frequently annoyed especially when you always think your friend is continually fishing for compliments.']
supporting someone who hurts others.,['supporting from someone who accidentally hurts others.']
judging people by their religion.,['people judging people by their peculiar religion.']
surprising people.,['always surprising people.']
using humor to lighten the mood,['or using humor to partially lighten the tense mood']
putting away harmful feelings towards people you are close to.,['putting sleep away harmful positive feelings towards nice people you are close even to.']
dressing slutty.,['or dressing that slutty.']
assuming someone has a disability because they talk differently.,['not assuming also someone who has a disability because they talk differently.']
telling your parents to butt out of your love life.,['telling your parents to come butt them out of having your normal love life.']
making mistakes.,['making no mistakes.']
making others look bad.,['liked making others look like bad.']
expecting a friend to give you money.,['expecting me a nice friend to give over you money.']
buying candy.,['buying them candy.']
swearing at others.,['her swearing at her others.']
keeping your mouth shut about what happens at a stag.,['keeping keep your mouth firmly shut about seeing what happens just at a stag.']
having your mental health on the border line.,['having your mental stability health checked on the border and line.']
procrastinating tasks.,['local procrastinating building tasks.']
having a sleepover with your family.,['enjoy having a nice sleepover together with your family.']
occupying the bathroom for too long.,['occupying the one bathroom door for almost too long.']
letting your partner's parents get mad at you.,"[""and letting your future partner's old parents get mad at two you.""]"
disliking everybody,['not disliking him everybody']
taking some risks.,['taking out some serious risks.']
telling someone if a family member is dying.,['telling sick someone if a family member person is still dying.']
sleeping around.,['sleeping all around.']
living your life based around what other people want.,['living shows your life not based solely around what other people want.']
making friends.,['not making friends.']
helping your coworkers with their goals.,['stop helping your coworkers work with their own goals.']
being unemployed.,['being paid unemployed.']
punishing a child that disobeys you.,['especially punishing a defective child whenever that disobeys in you.']
feeling very depressed.,['without feeling very freaking depressed.']
having feelings for someone you work with.,['always having feelings even for a someone you work with.']
changing to a career that you find challenging.,['then changing to adopting a career style that you find challenging.']
examining your poop after going to the bathroom.,['examining your respective poop glands after going to clean the bathroom.']
forcing people out of your home.,['forcing people camping out outside of your very home.']
offering people advice when they're dealing with a problem.,"[""offering important people advice when realizing they're really dealing them with a problem.""]"
needing motivation to finish your goals,['you needing motivation to slowly finish your goals']
being too attentive to someone.,['being that too overly attentive if to someone.']
crying when your pet is missing.,['stop crying back when really your pet is missing.']
trying to be understanding of your siblings and their feelings.,['trying to be more understanding not of either your siblings themselves and their feelings.']
engaging in romantic relationships with minors,['or engaging in romantic relationships usually with minors']
judging people based on what they know.,['and judging people based rather on all what they know.']
being angry with someone who wronged you.,['being scared angry alone with someone else who wronged you.']
expecting a gift from people.,['expecting a real gift not from people.']
lying to people about quitting your job.,['about lying to you people again about quitting your job.']
only inviting certain people to your events.,['only after inviting in certain people to your social events.']
running inside to get away from somebody so they can't follow you inside.,"[""like running inside to get away easily from somebody so they can'no t really follow even you inside.""]"
operating your car in any way you enjoy.,['operating your car in effect any new way you you enjoy.']
arguing with your partner.,['or arguing with being your partner.']
having weird sexual fantasies.,['and having weird kinda sexual fantasies.']
liking feet.,['especially liking feet.']
speaking out against your own work.,['speaking loudly out here against your own goddamn work.']
taking your pets to the pound.,['stop taking your pets to run the animal pound.']
distancing yourself from toxic family members.,['distancing you yourself somehow from your toxic family members.']
judging other people based on dietary preferences.,['judging other black people based mainly on his dietary preferences.']
being careful not to fall backwards when you step up.,['being careful always not to fall down backwards when ever you first step up.']
creating drama over social media,['creating drama content over social media media']
getting people fired.,['plus getting two people fired.']
beating a loved one.,['beating at a single loved one.']
being yourself,['like being yourself']
telling people what to do,['not telling people what thing to do']
being honest about your feelings.,['being honest about accepting your hard feelings.']
working at home.,['working hard at their home.']
being scared to share your friends with other people.,['always being scared to share between your friends with other other people.']
outgrowing a friendship.,['finally outgrowing a bad friendship.']
telling someone how to study.,['telling someone how best to... study.']
keeping food overly long in the freezer.,['always keeping food not overly long there in the freezer.']
having reservations about trusting someone completely.,['having certain reservations always about ever trusting someone completely.']
making excuses in life.,['making my excuses for in life.']
buying others expensive gifts that cause them to spend money.,['buying these others expensive gifts answers that obviously cause them never to spend money.']
thinking a tan is suspicious.,['thinking under a tan jacket is suspicious.']
removing a like you gave on someone's post.,"[""you removing a like you gave it on from someone's favourite post.""]"
not feeling excited to get a free book.,['not a feeling excited about to go get a free book.']
leaving your family and friends behind just to get an education.,['leaving your family back and friends behind just helps to someday get back an education.']
